PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,LOCAL_ADDRESS,REMOTE_ADDRESS,CWND,SEQ_NO,ACK_NO,isSyn,isAck,isFin,SEGMENT_LEN,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP
0,N/A,Control_Packet,ARP_Request,NODE-1,Broadcast-0,NODE-1,SWITCH-5,N/A,N/A,0,0,0.96,8,13,N/A,N/A,42,62,88,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,255.255.255.255,-,-
0,N/A,Control_Packet,ARP_Request,NODE-1,Broadcast-0,SWITCH-5,NODE-2,N/A,N/A,0,0,13,20.04,25.04,N/A,N/A,42,62,88,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,255.255.255.255,-,-
0,N/A,Control_Packet,ARP_Request,NODE-1,Broadcast-0,SWITCH-5,ROUTER-7,N/A,N/A,0,0,13,20.04,25.04,N/A,N/A,42,62,88,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,255.255.255.255,-,-
0,N/A,Control_Packet,ARP_Reply,NODE-2,NODE-1,NODE-2,SWITCH-5,N/A,N/A,25.04,25.04,25.04,32.08,37.08,N/A,N/A,42,62,88,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.65.7,-,-
0,N/A,Control_Packet,ARP_Reply,NODE-2,NODE-1,SWITCH-5,NODE-1,N/A,N/A,25.04,25.04,37.08,44.12,49.12,N/A,N/A,42,62,88,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.5,192.32.65.7,-,-
1,0,CBR,App1_CBR,NODE-1,NODE-2,NODE-1,SWITCH-5,0,0,0,49.12,49.12,170.24,175.24,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,192.32.65.5,192.32.65.7,192.32.65.5
1,0,CBR,App1_CBR,NODE-1,NODE-2,SWITCH-5,NODE-2,0,0,0,49.12,175.24,296.36,301.36,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,192.32.65.5,192.32.65.7,192.32.65.5
2,0,CBR,App1_CBR,NODE-1,NODE-2,NODE-1,SWITCH-5,20000,20000,20000,20000,20000,20121.12,20126.12,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,192.32.65.5,192.32.65.7,192.32.65.5
2,0,CBR,App1_CBR,NODE-1,NODE-2,SWITCH-5,NODE-2,20000,20000,20000,20000,20126.12,20247.24,20252.24,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,192.32.65.5,192.32.65.7,192.32.65.5
3,0,CBR,App1_CBR,NODE-1,NODE-2,NODE-1,SWITCH-5,40000,40000,40000,40000,40000,40121.12,40126.12,1460,1460,1468,1488,1514,0,Successful,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,192.32.65.7,192.32.65.5,192.32.65.7,192.32.65.5
